DialPlanName,Name,Prefix,Tag
cattolica,PSTN,*,PSTN
cattolica,+39022773963,+39022773963,S4B
cattolica,+39022773966,+39022773966,S4B
cattolica,+39022773971,+39022773971,S4B
cattolica,+39022773981,+39022773981,S4B
cattolica,+39022773982,+39022773982,S4B
cattolica,+39022773983,+39022773983,S4B
cattolica,+39022773985,+39022773985,S4B
cattolica,+39022773986,+39022773986,S4B
cattolica,+39022773990,+39022773990,S4B
cattolica,+39022773998,+39022773998,S4B
cattolica,+3902773267,+3902773267,S4B
cattolica,+390456833534,+390456833534,S4B
cattolica,+390456833622,+390456833622,S4B
cattolica,+390456833626,+390456833626,S4B
cattolica,+390456833627,+390456833627,S4B
cattolica,+390456833630,+390456833630,S4B
cattolica,+390456833631,+390456833631,S4B
cattolica,+390456833632,+390456833632,S4B
cattolica,+390456833633,+390456833633,S4B
cattolica,+390456833634,+390456833634,S4B
cattolica,+390456833635,+390456833635,S4B
cattolica,+390456833636,+390456833636,S4B
cattolica,+390456833637,+390456833637,S4B
cattolica,+390456833638,+390456833638,S4B
cattolica,+390456833639,+390456833639,S4B
cattolica,+390456833640,+390456833640,S4B
cattolica,+390456833641,+390456833641,S4B
cattolica,+390456833642,+390456833642,S4B
cattolica,+390456833645,+390456833645,S4B
cattolica,+390456833646,+390456833646,S4B
cattolica,+390456833649,+390456833649,S4B
cattolica,+390456833651,+390456833651,S4B
cattolica,+390456833654,+390456833654,S4B
cattolica,+390456833655,+390456833655,S4B
cattolica,+390456833661,+390456833661,S4B
cattolica,+390456833662,+390456833662,S4B
cattolica,+390456833672,+390456833672,S4B
cattolica,+390456833675,+390456833675,S4B
cattolica,+390456833679,+390456833679,S4B
cattolica,+390456833681,+390456833681,S4B
cattolica,+390456833682,+390456833682,S4B
cattolica,+390456833683,+390456833683,S4B
cattolica,+390456833684,+390456833684,S4B
cattolica,+390456833685,+390456833685,S4B
cattolica,+390456833687,+390456833687,S4B
cattolica,+390456833693,+390456833693,S4B
cattolica,+390456833694,+390456833694,S4B
cattolica,+390456833696,+390456833696,S4B
cattolica,+390456833697,+390456833697,S4B
cattolica,+390456833698,+390456833698,S4B
cattolica,+390456833699,+390456833699,S4B
cattolica,+390456833703,+390456833703,S4B
cattolica,+390456833704,+390456833704,S4B
cattolica,+390456833705,+390456833705,S4B
cattolica,+390456833706,+390456833706,S4B
cattolica,+390456833709,+390456833709,S4B
cattolica,+390456833711,+390456833711,S4B
cattolica,+390456833726,+390456833726,S4B
cattolica,+390456833733,+390456833733,S4B
cattolica,+390456833734,+390456833734,S4B
cattolica,+390456833737,+390456833737,S4B
cattolica,+390456833738,+390456833738,S4B
cattolica,+390456833741,+390456833741,S4B
cattolica,+390456833742,+390456833742,S4B
cattolica,+390456833743,+390456833743,S4B
cattolica,+390456833744,+390456833744,S4B
cattolica,+390456833745,+390456833745,S4B
cattolica,+390456833746,+390456833746,S4B
cattolica,+390456833747,+390456833747,S4B
cattolica,+390456833749,+390456833749,S4B
cattolica,+390456833750,+390456833750,S4B
cattolica,+390456833751,+390456833751,S4B
cattolica,+390456833752,+390456833752,S4B
cattolica,+390456833755,+390456833755,S4B
cattolica,+390456833756,+390456833756,S4B
cattolica,+390456833763,+390456833763,S4B
cattolica,+390456833764,+390456833764,S4B
cattolica,+390456833765,+390456833765,S4B
cattolica,+390456833767,+390456833767,S4B
cattolica,+390456833768,+390456833768,S4B
cattolica,+390456833771,+390456833771,S4B
cattolica,+390456833773,+390456833773,S4B
cattolica,+390456833775,+390456833775,S4B
cattolica,+390456833784,+390456833784,S4B
cattolica,+390456833796,+390456833796,S4B
cattolica,+390456833799,+390456833799,S4B
cattolica,+390458224010,+390458224010,S4B
cattolica,+390458224011,+390458224011,S4B
cattolica,+390458224101,+390458224101,S4B
cattolica,+390458224102,+390458224102,S4B
cattolica,+390458224103,+390458224103,S4B
cattolica,+390458224104,+390458224104,S4B
cattolica,+390458224105,+390458224105,S4B
cattolica,+390458224106,+390458224106,S4B
cattolica,+390458224107,+390458224107,S4B
cattolica,+390458224108,+390458224108,S4B
cattolica,+390458224109,+390458224109,S4B
cattolica,+390458224110,+390458224110,S4B
cattolica,+390458224111,+390458224111,S4B
cattolica,+390458224124,+390458224124,S4B
cattolica,+390458224125,+390458224125,S4B
cattolica,+390458224133,+390458224133,S4B
cattolica,+390458224145,+390458224145,S4B
cattolica,+390458224150,+390458224150,S4B
cattolica,+390458224152,+390458224152,S4B
cattolica,+390458224153,+390458224153,S4B
cattolica,+390458224155,+390458224155,S4B
cattolica,+390458224157,+390458224157,S4B
cattolica,+390458224158,+390458224158,S4B
cattolica,+390458224159,+390458224159,S4B
